client_employee_id|punch_apply_date|rolling_avg_7day_hours
131|2025-09-16|8.65
131|2025-09-19|8.635
131|2025-09-22|8.623333333333333
131|2025-09-22|8.6175
131|2025-09-25|8.594
131|2025-09-25|8.578333333333333
131|2025-09-26|8.567142857142857
131|2025-09-26|8.545714285714286
131|2025-09-29|8.528571428571428
131|2025-09-30|8.514285714285714
131|2025-10-01|8.5
131|2025-10-02|8.5
131|2025-10-03|8.5
131|2025-10-06|8.5
131|2025-10-06|8.5
131|2025-10-07|8.5
131|2025-10-08|8.5
131|2025-10-09|8.5
131|2025-10-10|8.5
131|2025-10-13|8.5
131|2025-10-14|8.5
131|2025-10-15|8.5
131|2025-10-16|8.5
214|2025-09-16|7.83
214|2025-09-17|7.99
214|2025-09-18|8.076666666666666
214|2025-09-19|7.8075
214|2025-09-22|7.852
214|2025-09-22|7.881666666666667
214|2025-09-23|7.86
214|2025-09-23|7.845714285714286
214|2025-09-24|7.491428571428571
214|2025-09-24|7.122857142857143
214|2025-09-25|7.122857142857143
214|2025-09-25|6.975714285714286
214|2025-09-26|6.828571428571428
214|2025-09-26|6.724285714285714
214|2025-09-29|6.62
214|2025-09-30|6.81
214|2025-10-01|7.0
214|2025-10-02|7.0
214|2025-10-03|7.0
214|2025-10-06|7.0
214|2025-10-06|7.0
214|2025-10-07|7.0
214|2025-10-08|7.0
214|2025-10-09|7.0
214|2025-10-10|7.0
214|2025-10-13|7.0
214|2025-10-14|7.0
214|2025-10-15|7.0
214|2025-10-16|7.0
25|2025-09-16|8.45
25|2025-09-17|8.56
25|2025-09-18|8.796666666666667
25|2025-09-19|8.6975
25|2025-09-22|8.664
25|2025-09-22|8.641666666666667
25|2025-09-23|8.624285714285714
25|2025-09-23|8.634285714285713
25|2025-09-24|8.47
25|2025-09-24|8.22
25|2025-09-25|8.234285714285715
25|2025-09-25|8.23
25|2025-09-30|8.225714285714286
25|2025-10-01|8.222857142857142
25|2025-10-02|8.22
25|2025-10-03|8.36
25|2025-10-06|8.5
25|2025-10-06|8.5
25|2025-10-07|8.5
25|2025-10-08|8.5
25|2025-10-09|8.5
25|2025-10-10|8.5
25|2025-10-13|8.5
25|2025-10-14|8.5
25|2025-10-15|8.5
25|2025-10-16|8.5
267|2025-09-16|6.65
449|2025-09-16|8.7
449|2025-09-17|8.69
449|2025-09-18|8.66
449|2025-09-19|8.115
449|2025-09-23|8.252
449|2025-09-23|8.343333333333334
449|2025-09-24|8.384285714285713
449|2025-09-24|8.374285714285714
449|2025-09-25|8.348571428571429
449|2025-09-25|8.334285714285715
449|2025-09-26|8.622857142857143
449|2025-09-26|8.58
449|2025-09-30|8.537142857142857
449|2025-10-01|8.518571428571429
449|2025-10-02|8.5
449|2025-10-03|8.5
449|2025-10-07|8.5
449|2025-10-08|8.5
449|2025-10-09|8.5
449|2025-10-10|8.5
449|2025-10-14|8.5
449|2025-10-15|8.5
449|2025-10-16|8.5
493|2025-09-15|1.0
493|2025-09-16|6.735
493|2025-09-18|8.656666666666666
493|2025-09-20|9.8
493|2025-09-23|10.34
493|2025-09-23|10.7
493|2025-09-24|10.974285714285715
493|2025-09-24|12.634285714285713
493|2025-09-26|12.638571428571428
493|2025-09-26|12.638571428571428
493|2025-09-29|12.534285714285714
493|2025-09-30|12.534285714285714
493|2025-10-02|12.534285714285714
493|2025-10-08|12.517142857142858
493|2025-10-09|12.5
493|2025-10-11|12.5
505442|2025-09-15|3.53
505442|2025-09-16|4.455
505442|2025-09-17|4.8933333333333335
505442|2025-09-18|5.5
505442|2025-09-19|5.456
505442|2025-09-22|5.405
505442|2025-09-22|5.368571428571428
505442|2025-09-23|5.6971428571428575
505442|2025-09-23|5.761428571428572
505442|2025-09-24|5.494285714285715
505442|2025-09-24|5.005714285714285
505454|2025-09-15|6.08
505454|2025-09-16|5.98
505454|2025-09-17|6.193333333333333
505454|2025-09-18|5.3875
505454|2025-09-19|5.53
505454|2025-09-22|5.395
505454|2025-09-22|5.298571428571429
505454|2025-09-23|5.24
505454|2025-09-23|5.21
505454|2025-09-24|5.464285714285714
505454|2025-09-24|6.24
505552|2025-09-15|3.52
505552|2025-09-16|5.625
505552|2025-09-17|4.523333333333333
505552|2025-09-18|4.3225
505552|2025-09-19|4.612
505552|2025-09-22|4.746666666666667
505552|2025-09-22|4.8428571428571425
505552|2025-09-23|5.118571428571428
505552|2025-09-23|4.792857142857143
505552|2025-09-24|5.214285714285714
505552|2025-09-24|5.435714285714286
505559|2025-09-15|12.38
505559|2025-09-16|8.19
505559|2025-09-17|9.593333333333334
505559|2025-09-18|8.725
505559|2025-09-24|10.256
505559|2025-09-24|11.276666666666667
505559|2025-09-25|11.451428571428572
505559|2025-09-25|11.468571428571428
505559|2025-09-28|12.682857142857143
505559|2025-09-29|12.697142857142858
505559|2025-09-30|13.608571428571429
505559|2025-10-05|13.054285714285715
505559|2025-10-05|12.5
505559|2025-10-06|12.5
505559|2025-10-06|12.5
505559|2025-10-09|12.5
505683|2025-09-16|6.0
505683|2025-09-17|5.875
505683|2025-09-18|6.343333333333334
505683|2025-09-19|6.3375
505683|2025-09-23|6.12
505683|2025-09-23|5.975
505683|2025-09-24|5.89
505683|2025-09-24|5.801428571428572
505684|2025-09-15|8.0
505684|2025-09-16|7.875
505684|2025-09-17|6.916666666666667
505684|2025-09-18|6.395
505684|2025-09-19|6.486
505684|2025-09-22|6.551666666666667
505684|2025-09-22|6.598571428571429
505684|2025-09-23|6.36
505684|2025-09-23|6.1571428571428575
505684|2025-09-24|6.364285714285714
505684|2025-09-24|6.595714285714286
505686|2025-09-15|5.25
505686|2025-09-16|6.375
505686|2025-09-17|5.083333333333333
505686|2025-09-18|5.195
505686|2025-09-19|5.476
505686|2025-09-22|5.8133333333333335
505686|2025-09-22|6.054285714285714
505686|2025-09-23|6.272857142857143
505686|2025-09-23|6.17
505686|2025-09-24|6.394285714285714
505686|2025-09-24|6.185714285714286
505688|2025-09-15|6.82
